quesId,Title,Language(s),AcceptedCount,UnacceptedCount
1068,product sales analysis I,sql,1,0
1070,product sale analysis III,sql,2,0
1071,greatest common divisor of strings,cpp,1,0
1074,number of submatrices that sum to target,cpp,1,1
1075,project employees I,sql,1,0
1078,occurrences after bigram,cpp,2,0
1079,letter tile possibilities,cpp,2,0
1081,smallest subsequence of distinct characters,cpp,1,0
1084,sales analysis III,sql,3,0
1089,duplicate zeros,cpp,1,0
1090,largest values from labels,cpp,1,0
1091,shortest path in binary matrix,cpp,2,0
1093,statistics from a large sample,cpp,1,0
1094,car pooling,cpp,1,0
1103,distribute candies to people,cpp,1,0
1104,path in zigzag labelled binary tree,cpp,1,0
1105,filling bookcase shelves,cpp,1,1
1106,parsing a boolean expression,cpp,1,0
1108,defanging an IP address,cpp,1,0
1109,corporate flight bookings,cpp,1,0
1110,delete nodes and return forest,cpp,1,0
1122,relative sort array,cpp,2,0
1123,lowest common ancestor of deepest leaves,cpp,1,0
1124,longest well performing interval,cpp,2,0
1128,number of equivalent domino pairs,cpp,2,0
1129,shortest path with alternating colors,cpp,1,0
1131,maximum of absolute value expression,cpp,0,1
1137,Nth tribonacci number,cpp,1,0
1138,alphabet board path,cpp,1,0
1140,stone game II,cpp,1,1
1141,user activity for the past 30 days I,sql,1,0
1143,longest common subsequence,cpp,5,1
1146,snapshot array,cpp,1,1
1148,article views I,sql,1,0
1154,day of the year,cpp+js,1+2,0+0
1155,number of dice rolls with target sum,cpp,5,0
1157,online majority element in subarray,cpp,0,1
1158,market analysis I,sql,2,0
1160,find words that can be formed by characters,cpp,1,0
1161,maximum level sum of a binary tree,cpp,1,0
1162,as far from land as possible,cpp,1,1
1164,product price at a given date,sql,2,0
1169,invalid transactions,cpp,1,0
1170,compare strings by frequency of the smallest character,cpp,2,1
1171,remove zero sum consecutive nodes from linked list,cpp,1,0
1173,immediate food delivery I,sql,3,0
1174,immediate food delivery II,sql,2,0
1175,prime arrangements,cpp,1,0
1177,can make palindrome from substring,cpp,1,1
1179,reformat department table,sql,1,0
1184,distance between bus stops,cpp,1,0
1185,day of the week,js,1,0
1189,maximum number of balloons,cpp,1,0
1190,reverse substrings between each pair of parentheses,cpp,3,0
1192,critical connections in a network,cpp,1,1
1193,monthly transactions I,sql,1,0
1200,minimum absolute difference,cpp,2,0
1201,ugly number III,cpp,0,1
1202,smallest string with swaps,cpp,1,0
1206,design skiplist,cpp,2,0
1207,unique number of occurrences,cpp,1,0
1208,get equal substrings within budget,cpp,1,1
1209,remove all adjacent duplicates in string II,cpp,1,1
1211,queries quality and percentage,sql,2,0
1217,minimum cost to move chips to the same position,cpp,2,0
1218,longest arithmetic subsequence of given difference,cpp,1,1
1219,path with maximum gold,cpp,1,0
1220,count vowels permutation,cpp,2,0
1221,split a string in balanced strings,cpp,1,0
1222,queens that can attack the king,cpp,1,0
1232,check if it is a straight line,cpp,2,0
1233,remove sub folders from the filesystem,cpp,2,1
1235,maximum profit in job scheduling,cpp,1,3
